,0,1,2,3,4,5,6,7,8,9
100742164,0.0010393898934125902,0.0005548445973545313,2.225442585768178e-05,0.023153845965862275,1.1105877092632e-06,1.7381673387717457e-06,3.3950454962905496e-06,2.524474211895722e-07,2.0210852369473287e-08,4.0140366763807833e-07
1007642150178181120,2.020937427005265e-06,1.2263417374924758e-07,5.858765234734165e-07,2.8843069230788387e-06,1.3013664283789695e-05,2.0368666446302087e-05,3.978611784987152e-05,2.9580531190731565e-06,0.0031013747677206996,4.703481681644917e-06
1007955240916799488,0.00383150577545166,8.199794683605433e-05,0.006174374371767044,4.300542968849186e-07,1.940270885825157e-06,3.0368360967258924e-06,5.931523992330768e-06,4.4101552703068593e-07,3.531035872583743e-08,7.012368769210298e-07
1007989092599164930,1.8334334299652256e-07,0.0011767596006393433,5.3152751888774224e-08,2.6167276701016817e-07,1.180703657155391e-06,1.8479006030247548e-06,3.609262057580054e-06,2.683675575099187e-07,0.0008307458832859994,4.2672540985222444e-07
1008376289500246018,0.0009909847751259804,0.0010859981179237367,4.949033154844074e-07,2.4365874196519146e-06,1.0993414616677911e-05,1.7206172924488782e-05,3.3607790828682486e-05,0.01110038161277771,2.0006721115350957e-07,3.973281127400696e-06
1008725911544315904,1.033433454722399e-06,0.001602546125650406,1.8945203919429332e-05,1.4749729416507763e-06,6.655116158071906e-06,1.0415902943350375e-05,2.0344216318335386e-05,1.5127693586691748e-06,1.211100084219652e-07,2.405312625342049e-06
1008847034546192384,0.004248492047190667,0.0009597391821444035,0.0018503321334719658,7.304952305275947e-06,3.296320501249284e-05,5.158596322871745e-05,0.0001007575890980661,7.49244136386551e-06,5.998165306664305e-07,1.1913057824131103e-05
1009467526797918208,3.784057753364323e-07,0.00113531444221735,0.0006130305584520102,5.400614554673666e-07,2.4368962840526367e-06,3.813828152487986e-06,7.449137774528936e-06,5.539162884815596e-07,0.0006628385279327632,8.807242920738646e-07
1009537260805488640,1.5569148672511802e-07,0.001262071542441845,0.0002810982055962086,2.2220976916287328e-07,1.0026782547356562e-06,1.56922651513014e-06,3.0649454856757076e-06,0.00016090552089735867,0.000539539847522974,3.6236813230061674e-07
1009641376794009601,7.838858873583377e-05,4.756432099384256e-06,2.2724721929989755e-05,0.00011187051422894001,0.0005047435406595469,0.000789974443614483,0.001543091330677271,0.00011473250342532993,0.00302084144204855,0.00018242350779473782
1009757526,2.0705674614873716e-07,0.0012493341229856015,0.00018829513574019076,2.9553880267485514e-07,1.3334379218576942e-06,2.086962740577292e-06,4.076138429809362e-06,3.0309006433526524e-07,0.0006144744809716941,4.81939332530601e-07
1009952921125965824,1.9332153442519486e-07,0.0015583647415041925,0.00019919872283935547,2.759300514298957e-07,1.2449994756025263e-06,1.948488352354616e-06,3.805798405664973e-06,2.830146513588261e-07,1.3270307681523265e-05,4.4994408199272584e-07
